,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier
0,0.4636363636363636,0.4909090909090909,0.5454545454545454,0.5727272727272728
1,0.509090909090909,0.5818181818181818,0.6181818181818182,0.5636363636363636
2,0.5636363636363636,0.6363636363636364,0.6181818181818182,0.6454545454545455
3,0.4818181818181818,0.5727272727272728,0.6363636363636364,0.5818181818181818
4,0.509090909090909,0.6,0.6545454545454545,0.6454545454545455
5,0.5363636363636364,0.6363636363636364,0.6454545454545455,0.6181818181818182
6,0.5727272727272728,0.4727272727272727,0.5545454545454546,0.5909090909090909
7,0.4818181818181818,0.5545454545454546,0.5636363636363636,0.5818181818181818
8,0.5272727272727272,0.5363636363636364,0.5545454545454546,0.6181818181818182
9,0.5,0.4727272727272727,0.5363636363636364,0.5
10,0.5,0.5181818181818182,0.6181818181818182,0.5818181818181818
11,0.4818181818181818,0.5272727272727272,0.5727272727272728,0.6090909090909091
12,0.4727272727272727,0.5,0.5636363636363636,0.5454545454545454
13,0.5272727272727272,0.4909090909090909,0.5818181818181818,0.5636363636363636
14,0.4727272727272727,0.5454545454545454,0.5909090909090909,0.5545454545454546
15,0.45454545454545453,0.5454545454545454,0.5636363636363636,0.5636363636363636
16,0.4636363636363636,0.6,0.6363636363636364,0.6363636363636364
17,0.5181818181818182,0.5181818181818182,0.5909090909090909,0.5909090909090909
18,0.5545454545454546,0.5818181818181818,0.6090909090909091,0.5727272727272728
19,0.4909090909090909,0.4727272727272727,0.6090909090909091,0.5909090909090909
20,0.4090909090909091,0.5727272727272728,0.6090909090909091,0.6
21,0.5272727272727272,0.5181818181818182,0.5454545454545454,0.5545454545454546
22,0.5636363636363636,0.5545454545454546,0.5727272727272728,0.5727272727272728
23,0.33636363636363636,0.4909090909090909,0.509090909090909,0.5363636363636364
24,0.42727272727272725,0.5272727272727272,0.5454545454545454,0.5454545454545454
25,0.44545454545454544,0.509090909090909,0.5,0.5818181818181818
26,0.5181818181818182,0.5,0.5272727272727272,0.5727272727272728
27,0.4727272727272727,0.5636363636363636,0.6818181818181818,0.6363636363636364
28,0.4727272727272727,0.5272727272727272,0.5727272727272728,0.5545454545454546
29,0.45454545454545453,0.5909090909090909,0.5545454545454546,0.6454545454545455
30,0.5454545454545454,0.5363636363636364,0.5545454545454546,0.5181818181818182
31,0.45454545454545453,0.5454545454545454,0.5636363636363636,0.6
32,0.4636363636363636,0.5181818181818182,0.5818181818181818,0.5363636363636364
33,0.509090909090909,0.5272727272727272,0.5818181818181818,0.5636363636363636
34,0.4909090909090909,0.5818181818181818,0.5909090909090909,0.5818181818181818
35,0.5181818181818182,0.509090909090909,0.509090909090909,0.5272727272727272
36,0.44545454545454544,0.4818181818181818,0.5727272727272728,0.5818181818181818
37,0.5272727272727272,0.5545454545454546,0.5727272727272728,0.6
38,0.4909090909090909,0.5818181818181818,0.6272727272727273,0.6181818181818182
39,0.5181818181818182,0.5545454545454546,0.5636363636363636,0.5909090909090909
40,0.4727272727272727,0.509090909090909,0.5363636363636364,0.509090909090909
41,0.5181818181818182,0.5272727272727272,0.5454545454545454,0.5454545454545454
42,0.5,0.5636363636363636,0.5727272727272728,0.5545454545454546
43,0.4,0.5454545454545454,0.5909090909090909,0.5818181818181818
44,0.4909090909090909,0.5636363636363636,0.6,0.5818181818181818
45,0.45454545454545453,0.5363636363636364,0.5545454545454546,0.5363636363636364
46,0.5909090909090909,0.6,0.6181818181818182,0.6272727272727273
47,0.41818181818181815,0.5,0.5363636363636364,0.5363636363636364
48,0.44545454545454544,0.5,0.5818181818181818,0.5454545454545454
49,0.5363636363636364,0.5363636363636364,0.5545454545454546,0.5454545454545454
