,AdaBoostRegressor,GradientBoostingRegressor,RandomForestRegressor,ExtraTreesRegressor,SVR
0,0.624,0.6,0.648,0.624,0.632
1,0.664,0.664,0.672,0.656,0.616
2,0.664,0.688,0.688,0.656,0.608
3,0.68,0.68,0.728,0.696,0.664
4,0.688,0.64,0.688,0.664,0.616
5,0.64,0.608,0.648,0.616,0.6
6,0.6,0.592,0.592,0.616,0.616
7,0.672,0.672,0.688,0.696,0.64
8,0.664,0.672,0.648,0.672,0.664
9,0.648,0.696,0.688,0.576,0.632
10,0.64,0.648,0.688,0.608,0.616
11,0.728,0.648,0.672,0.624,0.664
12,0.64,0.664,0.68,0.608,0.664
13,0.64,0.608,0.656,0.616,0.528
14,0.664,0.664,0.664,0.608,0.64
15,0.648,0.624,0.68,0.656,0.64
16,0.664,0.656,0.656,0.672,0.648
17,0.656,0.64,0.704,0.688,0.64
18,0.712,0.704,0.688,0.712,0.656
19,0.656,0.656,0.648,0.568,0.632
20,0.64,0.664,0.632,0.656,0.688
21,0.64,0.6,0.616,0.56,0.608
22,0.68,0.656,0.672,0.632,0.648
23,0.64,0.648,0.72,0.696,0.568
24,0.632,0.632,0.752,0.68,0.624
25,0.672,0.64,0.704,0.696,0.712
26,0.64,0.64,0.688,0.624,0.616
27,0.656,0.616,0.656,0.608,0.632
28,0.656,0.648,0.672,0.68,0.616
29,0.664,0.616,0.632,0.632,0.64
30,0.696,0.672,0.672,0.64,0.688
31,0.664,0.672,0.696,0.648,0.656
32,0.632,0.6,0.664,0.624,0.632
33,0.648,0.68,0.656,0.664,0.664
34,0.656,0.648,0.656,0.568,0.696
35,0.704,0.68,0.728,0.656,0.64
36,0.68,0.656,0.68,0.632,0.656
37,0.592,0.616,0.632,0.664,0.68
38,0.632,0.656,0.696,0.696,0.632
39,0.624,0.616,0.608,0.64,0.624
40,0.632,0.624,0.68,0.672,0.64
41,0.688,0.648,0.632,0.704,0.648
42,0.672,0.648,0.712,0.656,0.712
43,0.68,0.672,0.672,0.688,0.656
44,0.64,0.656,0.64,0.672,0.656
45,0.712,0.664,0.72,0.64,0.616
46,0.616,0.6,0.64,0.592,0.68
47,0.672,0.688,0.712,0.664,0.648
48,0.712,0.664,0.704,0.664,0.64
49,0.696,0.624,0.664,0.616,0.64
